CO_FRACC;BARRIO;COMUNA;ESQUINA
001_1;SAN NICOLAS;1;ALBERTO MORTZ y COMODORO PY
001_12;MONSERRAT;1;PERON y ROQUE SAENZ PEÑA
001_13;MONSERRAT;1;JUANA MANSO Y AZUCENA VILLAFLOR
001_14;MONSERRAT;1;DEFENSA y MORENO
001_15;MONSERRAT;1;TACUARI y BELGRANO
001_16;MONSERRAT;1;LUIS SAENZ PEÑA y HIPOLITO YRIGOYEN
001_17;MONSERRAT;1;SANTIAGO DEL ESTERO y BELGRANO
001_18;MONSERRAT;1;VENEZUELA y SOLIS
001_19;MONSERRAT;1;CHILE y SAN JOSE
001_20;MONSERRAT;1;CARLOS CALVO y VIRREY CEVALLOS
001_21;MONSERRAT;1;SANTIAGO DEL ESTERO y CARLOS CALVO
001_4;RECOLETA;2;ALVEAR y LIBERTAD
001_22;MONSERRAT;1;SAN JUAN y TACUARI
001_23;MONSERRAT;1;PERU y INDEPENDENCIA
001_24;MONSERRAT;1;PASEO COLON y HUMBERTO 1°
001_25;BARRACAS;4;DEFENSA y JUAN DE GARAY
001_26;CONSTITUCION;1;CHACABUCO y COCHABAMBA
001_27;BARRACAS;4;O'BRIEN y LIMA
001_28;SAN CRISTOBAL;3;CONSTITUCION y SAN JOSE
001_29;PARQUE PATRICIOS;4;PEDRO ECHAGUE y SOLIS
001_5;RECOLETA;2;LIBERTAD y ARENALES
001_6;RETIRO;1;JUNCAL y ESMERALDA
001_7;SAN NICOLAS;1;FLORIDA Y MARCELO T. DE ALVEAR
001_8;SAN NICOLAS;1;MARCELO T. DE ALVEAR y LIBERTAD
001_9;SAN NICOLAS;1;TUCUMAN y ESMERALDA
001_10;SAN NICOLAS;1;TUCUMAN y MONTEVIDEO
001_11;MONSERRAT;1;PERON y MONTEVIDEO
010_1;VILLA REAL;10;SIMBRON y VIRGILIO
010_10;VILLA SANTA RITA;11;MERCEDES y CESAR DIAZ
010_11;VILLA SANTA RITA;11;MORON y BAHIA BLANCA
010_12;FLORES;7;JOAQUIN V. GONZALEZ y BOGOTA
010_13;VELEZ SARSFIELD;10;BELEN y MORON
010_14;VILLA LURO;10;BERMUDEZ y SARACHAGA
010_15;VILLA LURO;10;LOPE DE VEGA Y YERBAL
010_16;LINIERS;9;BASUALDO y ERCILLA
010_17;VILLA LURO;10;CAJARAVILLA y DONIZETTI
010_18;VELEZ SARSFIELD;10;LACARRA y RAFAELA
010_19;FLORES;7;RAMON FALCON y DOLORES
010_2;VILLA REAL;10;BRUSELAS y SIMBRON
010_3;VILLA REAL;10;LASCANO y MADERO
