fraccion_id,cantidad_luminarias,percentil_edad,percentil_pisos,porcentaje_sin_luz,tiempo_sin_luz,puntaje_ranking
001_1,0,10,10,0,0,0.0
001_10,100,30,100,0,0,0.0
001_11,75,30,100,0,0,0.0
001_12,435,10,100,0,0,0.0
001_13,26,10,30,0,0,0.0
001_14,180,10,100,0,0,0.0
001_15,287,20,90,0,0,0.0
001_16,86,20,70,2,153,28.1
001_17,46,20,80,0,0,0.0
001_18,66,30,60,0,0,0.0
001_19,0,10,50,0,0,0.0
001_2,0,10,0,0,0,0.0
001_20,48,30,40,0,0,0.0
001_21,39,20,50,3,155,23.5
001_22,93,30,50,0,0,0.0
001_23,0,20,40,0,0,0.0
001_24,65,10,30,0,0,0.0
001_25,61,30,50,2,123,24.8
001_26,30,20,40,0,0,0.0
001_27,71,20,30,0,0,0.0
001_28,116,30,40,0,0,0.0
001_29,59,20,20,0,0,0.0
001_3,0,10,0,0,0,0.0
001_4,0,100,90,0,0,0.0
001_5,84,30,90,0,0,0.0
001_6,1,90,90,0,0,0.0
001_7,144,30,100,0,0,0.0
001_8,140,90,100,0,0,0.0
001_9,458,20,100,3,122,33.8
002_1,0,10,10,0,0,0.0
002_10,17,30,90,0,0,0.0
002_11,41,20,80,7,10,6.6
002_12,2,30,80,0,0,0.0
002_13,8,50,90,0,0,0.0
002_14,86,70,100,0,0,0.0
002_15,92,40,90,0,0,0.0
002_16,104,30,80,0,0,0.0
002_17,121,70,100,0,0,0.0
002_18,158,60,80,0,0,0.0
002_19,79,20,80,0,0,0.0
002_2,144,30,80,0,0,0.0
002_20,58,20,80,0,0,0.0
002_21,56,20,80,0,0,0.0
002_22,18,20,70,0,0,0.0
002_23,15,60,90,0,0,0.0
002_24,20,40,80,0,0,0.0
002_25,16,40,100,0,0,0.0
002_3,69,30,80,0,0,0.0
002_4,30,80,100,0,0,0.0
002_5,31,70,90,0,0,0.0
002_6,53,60,100,4,123,48.1
002_7,112,70,100,0,0,0.0
002_8,86,80,100,0,0,0.0
002_9,112,80,100,0,0,0.0
003_1,134,20,70,0,0,0.0
003_10,110,20,60,0,0,0.0
003_11,116,30,80,0,0,0.0
003_12,125,40,60,0,0,0.0
003_13,175,60,60,0,0,0.0
003_14,136,30,50,0,0,0.0
003_15,140,30,50,0,0,0.0
003_16,107,20,40,3,162,21.1
003_17,128,20,30,0,0,0.0
003_18,97,30,50,0,0,0.0
003_19,22,40,40,0,0,0.0
003_2,138,40,90,0,0,0.0
003_20,47,60,70,0,0,0.0
003_21,89,60,50,3,7,3.4
003_22,31,20,40,0,0,0.0
003_23,42,50,40,0,0,0.0
003_24,100,30,50,0,0,0.0
003_25,95,20,30,0,0,0.0
003_26,66,30,40,0,0,0.0
003_27,134,10,50,0,0,0.0
003_3,133,50,90,0,0,0.0
003_4,114,10,70,0,0,0.0
003_5,132,10,70,0,0,0.0
003_6,98,10,60,0,0,0.0
003_7,141,30,80,0,0,0.0
003_8,133,10,60,0,0,0.0
003_9,189,20,60,2,151,25.4
004_1,193,40,10,1,124,17.9
