external_id,long,lat,status,tiempo_sin_luz,fraccion_id
"CAB-sc 9 JULIO e Cordoba",-58.381963560000003,-34.599101619999999,1,0,001_9
CityTouch-2,-58.380682849999999,-34.618577960000003,1,0,001_22
CityTouch-3,-58.380736499999998,-34.618564710000001,1,0,001_22
CityTouch-4,-58.380725769999998,-34.618626519999999,1,0,001_22
CityTouch-5,-58.380715090000002,-34.618809730000002,1,0,001_22
CityTouch-6,-58.380698989999999,-34.619019420000001,1,0,001_22
CityTouch-7,-58.380662160000000,-34.619313480000002,1,0,001_22
CityTouch-8,-58.380611190000003,-34.619540829999998,1,0,001_22
CityTouch-9,-58.380662160000000,-34.619525379999999,1,0,001_22
CityTouch-10,-58.380640700000001,-34.619587189999997,1,0,001_22
CityTouch-11,-58.380996379999999,-34.619678069999999,1,0,001_22
CityTouch-12,-58.380980280000003,-34.619638340000002,1,0,001_22
CityTouch-13,-58.381087930000000,-34.619567809999999,1,0,001_22
CityTouch-14,-58.381020810000003,-34.619306369999997,1,0,001_22
CityTouch-15,-58.381040069999997,-34.619061619999997,1,0,001_22
CityTouch-16,-58.381047469999999,-34.618844240000001,1,0,001_22
CityTouch-17,-58.381034059999998,-34.618616889999998,1,0,001_22
CityTouch-18,-58.381074460000001,-34.618577960000003,1,0,001_22
CityTouch-19,-58.380996670000002,-34.618569129999997,1,0,001_22
CityTouch-20,-58.381038380000000,-34.618454460000002,1,0,001_22
CityTouch-21,-58.381006190000001,-34.618412520000000,1,0,001_22
CityTouch-22,-58.381046429999998,-34.618370579999997,1,0,001_22
CityTouch-23,-58.381044230000001,-34.618178999999998,1,0,001_22
CityTouch-24,-58.381028329999999,-34.618003330000001,1,0,001_22
CityTouch-25,-58.381041060000001,-34.617737079999998,1,0,001_22
CityTouch-26,-58.381043750000003,-34.617798880000002,1,0,001_22
CityTouch-27,-58.380992780000000,-34.617763560000000,1,0,001_22
CityTouch-28,-58.380733100000000,-34.617799339999998,1,0,001_22
CityTouch-29,-58.380792100000001,-34.617759610000000,1,0,001_22
CityTouch-30,-58.380721670000000,-34.617735000000003,1,0,001_22
CityTouch-31,-58.380731670000003,-34.618023330000000,1,0,001_22
CityTouch-32,-58.380737969999998,-34.618211649999999,1,0,001_22
CityTouch-33,-58.380751380000000,-34.618447840000002,1,0,001_22
CityTouch-34,-58.380710000000001,-34.618388330000002,1,0,001_22
CityTouch-35,-58.380762109999999,-34.618388240000002,1,0,001_22
CityTouch-36,-58.381520520000002,-34.607221610000003,1,0,001_12
CityTouch-37,-58.381572120000001,-34.607180010000000,1,0,001_12
CityTouch-38,-58.381573330000002,-34.607259999999997,1,0,001_12
CityTouch-39,-58.381596360000003,-34.606981580000003,1,0,001_12
CityTouch-40,-58.381615199999999,-34.606730939999998,1,0,001_12
CityTouch-41,-58.381630000000001,-34.606511670000003,1,0,001_12
CityTouch-42,-58.381629859999997,-34.606217280000003,1,0,001_12
CityTouch-43,-58.381570750000002,-34.606243820000003,1,0,001_12
CityTouch-44,-58.381638330000001,-34.606268329999999,1,0,001_12
CityTouch-45,-58.381273329999999,-34.607163329999999,1,0,001_12
CityTouch-46,-58.381264430000002,-34.607234599999998,1,0,001_12
CityTouch-47,-58.381323539999997,-34.607203640000002,1,0,001_12
CityTouch-48,-58.381276669999998,-34.606945000000003,1,0,001_12
CityTouch-49,-58.381291670000003,-34.606720000000003,1,0,001_12
CityTouch-50,-58.381323719999997,-34.606494699999999,1,0,001_12
CityTouch-51,-58.381369220000003,-34.606190740000002,1,0,001_12
CityTouch-52,-58.381315479999998,-34.606248239999999,1,0,001_12
CityTouch-53,-58.381380000000000,-34.606248330000000,1,0,001_12
CityTouch-54,-58.381043419999997,-34.617604389999997,1,0,001_15
CityTouch-55,-58.381062190000002,-34.617533750000000,1,0,001_15
CityTouch-56,-58.381000499999999,-34.617551409999997,1,0,001_15
CityTouch-57,-58.380759099999999,-34.617604389999997,1,0,001_15
CityTouch-58,-58.380721549999997,-34.617558029999998,1,0,001_15
CityTouch-59,-58.380785930000002,-34.617535959999998,1,0,001_15
CityTouch-60,-58.381047930000001,-34.617332570000002,1,0,001_15
CityTouch-61,-58.380771660000001,-34.617352439999998,1,0,001_15
CityTouch-62,-58.380787750000003,-34.617038989999998,1,0,001_15
CityTouch-63,-58.381043329999997,-34.617015000000002,1,0,001_15
CityTouch-64,-58.380795800000001,-34.616805390000003,1,0,001_15
CityTouch-65,-58.381071669999997,-34.616753330000002,1,0,001_15
CityTouch-66,-58.381038259999997,-34.616561740000002,1,0,001_15
CityTouch-67,-58.381097269999998,-34.616526420000000,1,0,001_15
CityTouch-68,-58.381099460000001,-34.616592509999997,1,0,001_15
CityTouch-69,-58.380812460000001,-34.616528500000001,1,0,001_15
CityTouch-70,-58.380746670000001,-34.616536670000002,1,0,001_15
CityTouch-71,-58.380785639999999,-34.616596930000000,1,0,001_15
CityTouch-72,-58.381033330000001,-34.616361670000003,1,0,001_15
CityTouch-73,-58.381088730000002,-34.616320999999999,1,0,001_15
CityTouch-74,-58.381078000000002,-34.616387220000000,1,0,001_15
CityTouch-75,-58.380769549999997,-34.616380599999999,1,0,001_15
CityTouch-76,-58.380828559999998,-34.616362940000002,1,0,001_15
CityTouch-77,-58.380777600000002,-34.616329829999998,1,0,001_15
CityTouch-78,-58.381110069999998,-34.616102720000001,1,0,001_15
CityTouch-79,-58.380803919999998,-34.616120430000002,1,0,001_15
CityTouch-80,-58.381131109999998,-34.615870379999997,1,0,001_15
CityTouch-81,-58.380810599999997,-34.615872600000003,1,0,001_15
CityTouch-82,-58.381129080000001,-34.615620470000003,1,0,001_15
CityTouch-83,-58.380830019999998,-34.615599549999999,1,0,001_15
CityTouch-84,-58.381139810000001,-34.615368830000001,1,0,001_15
CityTouch-85,-58.381102259999999,-34.615415179999999,1,0,001_15
CityTouch-86,-58.381086160000002,-34.615355579999999,1,0,001_15
CityTouch-87,-58.380878299999999,-34.615383229999999,1,0,001_15
CityTouch-88,-58.380824650000001,-34.615414129999998,1,0,001_15
CityTouch-89,-58.380834999999998,-34.615353329999998,1,0,001_15
CityTouch-90,-58.380844459999999,-34.615187550000002,1,0,001_15
CityTouch-91,-58.380898330000001,-34.615145429999998,1,0,001_15
CityTouch-92,-58.380836670000001,-34.615126670000002,1,0,001_15
CityTouch-93,-58.380846669999997,-34.614968330000004,1,0,001_15
CityTouch-94,-58.380859350000001,-34.614777640000000,1,0,001_15
CityTouch-95,-58.380860620000000,-34.614589060000000,1,0,001_15
CityTouch-96,-58.380928529999998,-34.614371830000003,1,0,001_15
CityTouch-97,-58.380871980000002,-34.614405089999998,1,0,001_15
CityTouch-98,-58.380871980000002,-34.614351890000002,1,0,001_15
CityTouch-99,-58.381226669999997,-34.614325000000001,1,0,001_15
CityTouch-100,-58.381173640000000,-34.614354110000001,1,0,001_15
CityTouch-101,-58.381224230000001,-34.614393999999997,1,0,001_15
CityTouch-102,-58.381213459999998,-34.614589060000000,1,0,001_15
CityTouch-103,-58.381214880000002,-34.614804239999998,1,0,001_15
CityTouch-104,-58.381168330000001,-34.614975000000001,1,0,001_15
CityTouch-105,-58.381163330000000,-34.615151670000003,1,0,001_15
CityTouch-106,-58.381140000000002,-34.615130000000001,1,0,001_15
CityTouch-107,-58.381128330000003,-34.615158330000000,1,0,001_15
CityTouch-108,-58.381581420000003,-34.605998839999998,1,0,001_12
CityTouch-109,-58.381637849999997,-34.605963449999997,1,0,001_12
CityTouch-110,-58.381637849999997,-34.606038640000001,1,0,001_12
CityTouch-111,-58.381348170000003,-34.606019310000001,1,0,001_12
CityTouch-112,-58.381375040000002,-34.605968449999999,1,0,001_12
CityTouch-113,-58.381313239999997,-34.605968449999999,1,0,001_12
CityTouch-114,-58.381617040000002,-34.605748630000001,1,0,001_12
CityTouch-115,-58.381380579999998,-34.605750839999999,1,0,001_12
CityTouch-116,-58.381630000000001,-34.605555000000003,1,0,001_12
CityTouch-117,-58.381380579999998,-34.605525260000000,1,0,001_12
CityTouch-118,-58.381661280000003,-34.605292970000001,1,0,001_12
CityTouch-119,-58.381392580000004,-34.605312869999999,1,0,001_12
CityTouch-120,-58.381658590000001,-34.605169119999999,1,0,001_12
CityTouch-121,-58.381642470000003,-34.605116039999999,1,0,001_12
CityTouch-122,-58.381696210000001,-34.605118249999997,1,0,001_12
CityTouch-123,-58.381424819999999,-34.605166910000001,1,0,001_12
CityTouch-124,-58.381363020000002,-34.605144789999997,1,0,001_12
CityTouch-125,-58.381416610000002,-34.605116039999999,1,0,001_12
CityTouch-126,-58.381498600000000,-34.608311380000004,1,0,001_12
CityTouch-127,-58.381526670000000,-34.608258329999998,1,0,001_12
CityTouch-128,-58.381471670000003,-34.608263330000000,1,0,001_12
CityTouch-129,-58.381506670000000,-34.608018330000000,1,0,001_12
CityTouch-130,-58.381531670000001,-34.607828329999997,1,0,001_12
CityTouch-131,-58.381551340000001,-34.607630139999998,1,0,001_12
CityTouch-132,-58.381548180000003,-34.607431380000001,1,0,001_12
CityTouch-133,-58.381480000000003,-34.607415000000003,1,0,001_12
CityTouch-134,-58.381536670000003,-34.607374999999998,1,0,001_12
CityTouch-135,-58.381204529999998,-34.608322919999999,1,0,001_12
CityTouch-136,-58.381236770000001,-34.608267630000000,1,0,001_12
CityTouch-137,-58.381172280000001,-34.608269849999999,1,0,001_12
CityTouch-138,-58.381234270000000,-34.608032639999998,1,0,001_12
CityTouch-139,-58.381255770000003,-34.607818129999998,1,0,001_12
CityTouch-140,-58.381253080000000,-34.607632359999997,1,0,001_12
CityTouch-141,-58.381244549999998,-34.607411480000003,1,0,001_12
CityTouch-142,-58.381241860000003,-34.607455710000004,1,0,001_12
CityTouch-143,-58.381309039999998,-34.607446860000003,1,0,001_12
"CAB-sc Av. Juan B. Justo y Boyaca",-58.467938340000003,-34.611030020000001,1,0,011_20
CityTouch-145,-58.458899570000000,-34.604569750000003,1,0,011_21
CityTouch-146,-58.459129519999998,-34.604712509999999,1,0,011_21
CityTouch-147,-58.459382130000002,-34.604858489999998,1,0,011_21
CityTouch-148,-58.459625140000000,-34.605038669999999,1,0,011_21
CityTouch-149,-58.459907410000000,-34.605236740000002,1,0,011_21
CityTouch-150,-58.460095520000003,-34.605373620000002,1,0,011_21
CityTouch-151,-58.460231110000002,-34.605530399999999,1,0,011_21
CityTouch-152,-58.460395450000000,-34.605696219999999,1,0,011_21
CityTouch-153,-58.460700369999998,-34.605905270000001,1,0,011_21
CityTouch-154,-58.460938020000000,-34.606085520000001,1,0,011_21
CityTouch-155,-58.461220720000000,-34.606245250000001,1,0,011_21
CityTouch-156,-58.461479099999998,-34.606397260000001,1,0,011_21
CityTouch-157,-58.461763410000003,-34.606573869999998,1,0,011_21
CityTouch-158,-58.461954169999998,-34.606732950000001,1,0,011_21
CityTouch-159,-58.462181569999998,-34.606908040000000,1,0,011_21
CityTouch-160,-58.462404700000000,-34.607048140000003,1,0,011_21
CityTouch-161,-58.462641230000003,-34.607210379999998,1,0,011_21
CityTouch-162,-58.462865319999999,-34.607349960000001,1,0,011_21
CityTouch-163,-58.463076870000002,-34.607497840000001,1,0,011_21
CityTouch-164,-58.463326909999999,-34.607672450000003,1,0,011_21
CityTouch-165,-58.463573799999999,-34.607831480000002,1,0,011_21
CityTouch-166,-58.463799219999999,-34.608008179999999,1,0,011_21
CityTouch-167,-58.464067589999999,-34.608202560000002,1,0,011_21
CityTouch-168,-58.464284999999997,-34.608364999999999,1,0,011_21
CityTouch-169,-58.464489999999998,-34.608598330000000,1,0,011_21
CityTouch-170,-58.464743329999997,-34.608854999999998,1,0,011_21
CityTouch-171,-58.464906669999998,-34.609014999999999,1,0,011_21
CityTouch-172,-58.465116670000000,-34.609263329999997,1,0,011_21
